Target_id	Tax_id	Gene_id	Gene_name	Gene_alias	Db_xrefs	Chromosome	Map_location	Description	Type_of_gene	TTD_target_id	TTD_target_type
HBTAR000033	9606	48	ACO1	ACONS; HEL60; IREB1; IREBP; IREBP1; IRP1	OMIM:100880; HGNC:HGNC:117; Ensembl:ENSG00000122729	9	9p21.1	aconitase 1	protein-coding	NA	/
HBTAR000034	9606	49	ACR	-	OMIM:102480; HGNC:HGNC:126; Ensembl:ENSG00000100312	22	22q13.33	acrosin	protein-coding	T24595	Research target
HBTAR000035	9606	50	ACO2	ACONM; HEL-S-284; ICRD; OCA8; OPA9	OMIM:100850; HGNC:HGNC:118; Ensembl:ENSG00000100412	22	22q13.2	aconitase 2	protein-coding	T12627	Research target
HBTAR000036	9606	51	ACOX1	ACOX; PALMCOX; SCOX	OMIM:609751; HGNC:HGNC:119; Ensembl:ENSG00000161533	17	17q25.1	acyl-CoA oxidase 1	protein-coding	NA	/
HBTAR000037	9606	52	ACP1	HAAP; LMW-PTP; LMWPTP	OMIM:171500; HGNC:HGNC:122; Ensembl:ENSG00000143727	2	2p25.3	acid phosphatase 1	protein-coding	NA	/
HBTAR000038	9606	53	ACP2	LAP	OMIM:171650; HGNC:HGNC:123; Ensembl:ENSG00000134575	11	11p11.2|11p12-p11	"acid phosphatase 2, lysosomal"	protein-coding	NA	/
HBTAR000039	9606	54	ACP5	HPAP; TRACP5a; TRACP5b; TRAP; TrATPase	OMIM:171640; HGNC:HGNC:124; Ensembl:ENSG00000102575	19	19p13.2	"acid phosphatase 5, tartrate resistant"	protein-coding	NA	/
HBTAR000040	9606	55	ACP3	5'-NT; ACP-3; ACPP; TM-PAP	OMIM:171790; HGNC:HGNC:125; Ensembl:ENSG00000014257	3	3q22.1	acid phosphatase 3	protein-coding	NA	/
HBTAR000041	9606	58	ACTA1	ACTA; ASMA; CFTD; CFTD1; CFTDM; MPFD; NEM1; NEM2; NEM3; SHPM	OMIM:102610; HGNC:HGNC:129; Ensembl:ENSG00000143632	1	1q42.13	"actin alpha 1, skeletal muscle"	protein-coding	NA	/
HBTAR000042	9606	59	ACTA2	ACTSA	OMIM:102620; HGNC:HGNC:130; Ensembl:ENSG00000107796	10	10q23.31	"actin alpha 2, smooth muscle"	protein-coding	NA	/
HBTAR000043	9606	60	ACTB	BRWS1; PS1TP5BP1	OMIM:102630; HGNC:HGNC:132; Ensembl:ENSG00000075624	7	7p22.1	actin beta	protein-coding	NA	/
HBTAR000044	9606	70	ACTC1	ACTC; ASD5; CMD1R; CMH11; LVNC4	OMIM:102540; HGNC:HGNC:143; Ensembl:ENSG00000159251	15	15q14	actin alpha cardiac muscle 1	protein-coding	NA	/
HBTAR000045	9606	71	ACTG1	ACT; ACTG; DFNA20; DFNA26; HEL-176	OMIM:102560; HGNC:HGNC:144; Ensembl:ENSG00000184009	17	17q25.3	actin gamma 1	protein-coding	T27457	Research target
HBTAR000046	9606	72	ACTG2	ACT; ACTA3; ACTE; ACTL3; ACTSG; VSCM	OMIM:102545; HGNC:HGNC:145; Ensembl:ENSG00000163017	2	2p13.1	"actin gamma 2, smooth muscle"	protein-coding	NA	/
HBTAR000047	9606	81	ACTN4	ACTININ-4; FSGS; FSGS1	OMIM:604638; HGNC:HGNC:166; Ensembl:ENSG00000130402	19	19q13.2	actinin alpha 4	protein-coding	NA	/
HBTAR000048	9606	86	ACTL6A	ACTL6; ARPN-BETA; Arp4; BAF53A; INO80K	OMIM:604958; HGNC:HGNC:24124; Ensembl:ENSG00000136518	3	3q26.33	actin like 6A	protein-coding	NA	/
HBTAR000049	9606	87	ACTN1	BDPLT15	OMIM:102575; HGNC:HGNC:163; Ensembl:ENSG00000072110	14	14q24.1|14q22-q24	actinin alpha 1	protein-coding	NA	/
HBTAR000050	9606	88	ACTN2	CMD1AA; CMH23; MPD6; MYOCOZ	OMIM:102573; HGNC:HGNC:164; Ensembl:ENSG00000077522	1	1q43	actinin alpha 2	protein-coding	NA	/
HBTAR000051	9606	90	ACVR1	ACTRI; ACVR1A; ACVRLK2; ALK2; FOP; SKR1; TSRI	OMIM:102576; HGNC:HGNC:171; Ensembl:ENSG00000115170	2	2q24.1	activin A receptor type 1	protein-coding	T12091	Patented target
HBTAR000052	9606	92	ACVR2A	ACTRII; ACVR2	OMIM:102581; HGNC:HGNC:173; Ensembl:ENSG00000121989	2	2q22.3-q23.1	activin A receptor type 2A	protein-coding	T47366	Clinical Trial target
HBTAR000053	9606	93	ACVR2B	ACTRIIB; ActR-IIB; HTX4	OMIM:602730; HGNC:HGNC:174; Ensembl:ENSG00000114739	3	3p22.2	activin A receptor type 2B	protein-coding	T80338	Research target
HBTAR000054	9606	94	ACVRL1	ACVRLK1; ALK-1; ALK1; HHT; HHT2; ORW2; SKR3; TSR-I	OMIM:601284; HGNC:HGNC:175; Ensembl:ENSG00000139567	12	12q13.13	activin A receptor like type 1	protein-coding	T36959	Clinical Trial target
HBTAR000055	9606	95	ACY1	ACY-1; ACY1D; HEL-S-5	OMIM:104620; HGNC:HGNC:177; Ensembl:ENSG00000243989	3	3p21.2	aminoacylase 1	protein-coding	NA	/
HBTAR000056	9606	97	ACYP1	ACYPE	OMIM:600875; HGNC:HGNC:179; Ensembl:ENSG00000119640	14	14q24.3	acylphosphatase 1	protein-coding	NA	/
HBTAR000057	9606	98	ACYP2	ACYM; ACYP	OMIM:102595; HGNC:HGNC:180; Ensembl:ENSG00000170634	2	2p16.2	acylphosphatase 2	protein-coding	NA	/
HBTAR000058	9606	100	ADA	-	OMIM:608958; HGNC:HGNC:186; Ensembl:ENSG00000196839	20	20q13.12	adenosine deaminase	protein-coding	T03661	Successful target
HBTAR000059	9606	102	ADAM10	AD10; AD18; CD156c; CDw156; HsT18717; MADM; RAK; kuz	OMIM:602192; HGNC:HGNC:188; Ensembl:ENSG00000137845	15	15q21.3	ADAM metallopeptidase domain 10	protein-coding	T77997	Research target
HBTAR000060	9606	103	ADAR	ADAR1; AGS6; DRADA; DSH; DSRAD; G1P1; IFI-4; IFI4; K88DSRBP; P136	OMIM:146920; HGNC:HGNC:225; Ensembl:ENSG00000160710	1	1q21.3	adenosine deaminase RNA specific	protein-coding	NA	/
HBTAR000061	9606	104	ADARB1	ADAR2; DRABA2; DRADA2; NEDHYMS; RED1	OMIM:601218; HGNC:HGNC:226; Ensembl:ENSG00000197381	21	21q22.3	adenosine deaminase RNA specific B1	protein-coding	NA	/
HBTAR000062	9606	105	ADARB2	ADAR3; RED2	OMIM:602065; HGNC:HGNC:227; Ensembl:ENSG00000185736	10	10p15.3	adenosine deaminase RNA specific B2 (inactive)	protein-coding	NA	/
HBTAR000063	9606	107	ADCY1	AC1; DFNB44	OMIM:103072; HGNC:HGNC:232; Ensembl:ENSG00000164742	7	7p12.3	adenylate cyclase 1	protein-coding	T63609	Successful target
HBTAR000064	9606	108	ADCY2	AC2; HBAC2	OMIM:103071; HGNC:HGNC:233; Ensembl:ENSG00000078295	5	5p15.31	adenylate cyclase 2	protein-coding	T97655	Research target
HBTAR000065	9606	109	ADCY3	AC-III; AC3; BMIQ19	OMIM:600291; HGNC:HGNC:234; Ensembl:ENSG00000138031	2	2p23.3	adenylate cyclase 3	protein-coding	NA	/
HBTAR000066	9606	111	ADCY5	AC5; FDFM	OMIM:600293; HGNC:HGNC:236; Ensembl:ENSG00000173175	3	3q21.1	adenylate cyclase 5	protein-coding	T19531	Research target
HBTAR000067	9606	112	ADCY6	AC6; LCCS8	OMIM:600294; HGNC:HGNC:237; Ensembl:ENSG00000174233	12	12q13.12	adenylate cyclase 6	protein-coding	NA	/
HBTAR000068	9606	113	ADCY7	AC7	OMIM:600385; HGNC:HGNC:238; Ensembl:ENSG00000121281	16	16q12.1	adenylate cyclase 7	protein-coding	NA	/
HBTAR000069	9606	114	ADCY8	AC8; ADCY3; HBAC1	OMIM:103070; HGNC:HGNC:239; Ensembl:ENSG00000155897	8	8q24.22	adenylate cyclase 8	protein-coding	NA	/
HBTAR000070	9606	115	ADCY9	AC9; ACIX	OMIM:603302; HGNC:HGNC:240; Ensembl:ENSG00000162104	16	16p13.3	adenylate cyclase 9	protein-coding	NA	/
HBTAR000071	9606	116	ADCYAP1	PACAP	OMIM:102980; HGNC:HGNC:241; Ensembl:ENSG00000141433	18	18p11.32	adenylate cyclase activating polypeptide 1	protein-coding	T07045	Clinical Trial target
HBTAR000072	9606	117	ADCYAP1R1	PAC1; PAC1R; PACAPR; PACAPRI	OMIM:102981; HGNC:HGNC:242; Ensembl:ENSG00000078549	7	7p14.3	ADCYAP receptor type I	protein-coding	T92185	Clinical Trial target
HBTAR000073	9606	118	ADD1	ADDA	OMIM:102680; HGNC:HGNC:243; Ensembl:ENSG00000087274	4	4p16.3	adducin 1	protein-coding	NA	/
HBTAR000074	9606	119	ADD2	ADDB	OMIM:102681; HGNC:HGNC:244; Ensembl:ENSG00000075340	2	2p13.3	adducin 2	protein-coding	NA	/
HBTAR000075	9606	120	ADD3	ADDL; CPSQ3	OMIM:601568; HGNC:HGNC:245; Ensembl:ENSG00000148700	10	10q25.1-q25.2	adducin 3	protein-coding	NA	/
HBTAR000076	9606	123	PLIN2	ADFP; ADRP	OMIM:103195; HGNC:HGNC:248; Ensembl:ENSG00000147872	9	9p22.1	perilipin 2	protein-coding	NA	/
HBTAR000077	9606	124	ADH1A	ADH1	OMIM:103700; HGNC:HGNC:249; Ensembl:ENSG00000187758	4	4q23	"alcohol dehydrogenase 1A (class I), alpha polypeptide"	protein-coding	T65570	Successful target
HBTAR000078	9606	125	ADH1B	ADH2; HEL-S-117	OMIM:103720; HGNC:HGNC:250; Ensembl:ENSG00000196616	4	4q23	"alcohol dehydrogenase 1B (class I), beta polypeptide"	protein-coding	NA	/
HBTAR000079	9606	127	ADH4	ADH-2; HEL-S-4	OMIM:103740; HGNC:HGNC:252; Ensembl:ENSG00000198099	4	4q23	"alcohol dehydrogenase 4 (class II), pi polypeptide"	protein-coding	NA	/
HBTAR000080	9606	128	ADH5	ADH-3; ADHX; FALDH; FDH; GSH-FDH; GSNOR; HEL-S-60p	OMIM:103710; HGNC:HGNC:253; Ensembl:ENSG00000197894	4	4q23	"alcohol dehydrogenase 5 (class III), chi polypeptide"	protein-coding	NA	/
HBTAR000081	9606	130	ADH6	ADH-5	OMIM:103735; HGNC:HGNC:255; Ensembl:ENSG00000172955	4	4q23	alcohol dehydrogenase 6 (class V)	protein-coding	NA	/
HBTAR000082	9606	131	ADH7	ADH4	OMIM:600086; HGNC:HGNC:256; Ensembl:ENSG00000196344	4	4q23	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	protein-coding	T09770	Research target
HBTAR000083	9606	132	ADK	AK	OMIM:102750; HGNC:HGNC:257; Ensembl:ENSG00000156110	10	10q22.2|10q11-q24	adenosine kinase	protein-coding	T91661	Clinical Trial target
HBTAR000084	9606	133	ADM	AM; PAMP	OMIM:103275; HGNC:HGNC:259; Ensembl:ENSG00000148926	11	11p15.4	adrenomedullin	protein-coding	T20629	Research target
HBTAR000085	9606	134	ADORA1	RDC7	OMIM:102775; HGNC:HGNC:262; Ensembl:ENSG00000163485	1	1q32.1	adenosine A1 receptor	protein-coding	T92072	Successful target
HBTAR000086	9606	135	ADORA2A	A2aR; ADORA2; RDC8	OMIM:102776; HGNC:HGNC:263; Ensembl:ENSG00000128271	22	22q11.23	adenosine A2a receptor	protein-coding	T77365	Successful target
HBTAR000087	9606	136	ADORA2B	ADORA2	OMIM:600446; HGNC:HGNC:264; Ensembl:ENSG00000170425	17	17p12	adenosine A2b receptor	protein-coding	T86679	Successful target
HBTAR000088	9606	140	ADORA3	A3AR	OMIM:600445; HGNC:HGNC:268; Ensembl:ENSG00000282608	1	1p13.2	adenosine A3 receptor	protein-coding	T36059	Clinical Trial target
HBTAR000089	9606	141	ADPRH	ARH1; hARH1	OMIM:603081; HGNC:HGNC:269; Ensembl:ENSG00000144843	3	3q13.33	ADP-ribosylarginine hydrolase	protein-coding	NA	/
HBTAR000090	9606	142	PARP1	ADPRT; ADPRT 1; ADPRT1; ARTD1; PARP; PARP-1; PPOL; pADPRT-1	OMIM:173870; HGNC:HGNC:270; Ensembl:ENSG00000143799	1	1q42.12	poly(ADP-ribose) polymerase 1	protein-coding	T06273	Successful target
HBTAR000091	9606	143	PARP4	ADPRTL1; ARTD4; PARP-4; PARPL; PH5P; VAULT3; VPARP; VWA5C; p193	OMIM:607519; HGNC:HGNC:271; Ensembl:ENSG00000102699	13	13q12.12	poly(ADP-ribose) polymerase family member 4	protein-coding	NA	/
HBTAR000092	9606	146	ADRA1D	ADRA1; ADRA1A; ADRA1R; ALPHA1; DAR; dJ779E11.2	OMIM:104219; HGNC:HGNC:280; Ensembl:ENSG00000171873	20	20p13	adrenoceptor alpha 1D	protein-coding	T53381	Successful target
HBTAR000093	9606	147	ADRA1B	ADRA1; ALPHA1BAR	OMIM:104220; HGNC:HGNC:278; Ensembl:ENSG00000170214	5	5q33.3	adrenoceptor alpha 1B	protein-coding	T29500	Successful target
HBTAR000094	9606	148	ADRA1A	ADRA1C; ADRA1L1; ALPHA1AAR	OMIM:104221; HGNC:HGNC:277; Ensembl:ENSG00000120907	8	8p21.2	adrenoceptor alpha 1A	protein-coding	T92609	Successful target
HBTAR000095	9606	150	ADRA2A	ADRA2; ADRA2R; ADRAR; ALPHA2AAR; ZNF32	OMIM:104210; HGNC:HGNC:281; Ensembl:ENSG00000150594	10	10q25.2	adrenoceptor alpha 2A	protein-coding	T11448	Successful target
HBTAR000096	9606	151	ADRA2B	ADRA2L1; ADRA2RL1; ADRARL1; ALPHA2BAR; FAME2; alpha-2BAR	OMIM:104260; HGNC:HGNC:282; Ensembl:ENSG00000274286	2	2q11.2	adrenoceptor alpha 2B	protein-coding	T41580	Successful target
HBTAR000097	9606	152	ADRA2C	ADRA2L2; ADRA2RL2; ADRARL2; ALPHA2CAR	OMIM:104250; HGNC:HGNC:283; Ensembl:ENSG00000184160	4	4p16.3	adrenoceptor alpha 2C	protein-coding	T01777	Successful target
HBTAR000098	9606	153	ADRB1	ADRB1R; B1AR; BETA1AR; FNSS2; RHR	OMIM:109630; HGNC:HGNC:285; Ensembl:ENSG00000043591	10	10q25.3	adrenoceptor beta 1	protein-coding	T44068	Successful target
HBTAR000099	9606	154	ADRB2	ADRB2R; ADRBR; B2AR; BAR; BETA2AR	OMIM:109690; HGNC:HGNC:286; Ensembl:ENSG00000169252	5	5q32	adrenoceptor beta 2	protein-coding	T52522	Successful target
HBTAR000100	9606	155	ADRB3	BETA3AR	OMIM:109691; HGNC:HGNC:288; Ensembl:ENSG00000188778	8	8p11.23	adrenoceptor beta 3	protein-coding	T51408	Successful target
HBTAR000101	9606	156	GRK2	ADRBK1; BARK1; BETA-ARK1	OMIM:109635; HGNC:HGNC:289; Ensembl:ENSG00000173020	11	11q13.2	G protein-coupled receptor kinase 2	protein-coding	T62548	Research target
HBTAR000102	9606	157	GRK3	ADRBK2; BARK2	OMIM:109636; HGNC:HGNC:290; Ensembl:ENSG00000100077	22	22q12.1	G protein-coupled receptor kinase 3	protein-coding	T57174	Research target
HBTAR000103	9606	158	ADSL	AMPS; ASASE; ASL	OMIM:608222; HGNC:HGNC:291; Ensembl:ENSG00000239900	22	22q13.1	adenylosuccinate lyase	protein-coding	NA	/
HBTAR000104	9606	159	ADSS2	ADEH; ADSS; ADSS 2	OMIM:103060; HGNC:HGNC:292; Ensembl:ENSG00000035687	1	1q44	adenylosuccinate synthase 2	protein-coding	NA	/
HBTAR000105	9606	160	AP2A1	ADTAA; AP2-ALPHA; CLAPA1	OMIM:601026; HGNC:HGNC:561; Ensembl:ENSG00000196961	19	19q13.33	adaptor related protein complex 2 subunit alpha 1	protein-coding	NA	/
HBTAR000106	9606	161	AP2A2	ADTAB; CLAPA2; HIP-9; HIP9; HYPJ	OMIM:607242; HGNC:HGNC:562; Ensembl:ENSG00000183020	11	11p15.5	adaptor related protein complex 2 subunit alpha 2	protein-coding	NA	/
HBTAR000107	9606	162	AP1B1	ADTB1; AP105A; BAM22; CLAPB2; KIDAR	OMIM:600157; HGNC:HGNC:554; Ensembl:ENSG00000100280	22	22q12.2	adaptor related protein complex 1 subunit beta 1	protein-coding	NA	/
HBTAR000108	9606	165	AEBP1	ACLP	OMIM:602981; HGNC:HGNC:303; Ensembl:ENSG00000106624	7	7p13	AE binding protein 1	protein-coding	NA	/
HBTAR000109	9606	173	AFM	ALB2; ALBA; ALF	OMIM:104145; HGNC:HGNC:316; Ensembl:ENSG00000079557	4	4q13.3	afamin	protein-coding	NA	/
HBTAR000110	9606	174	AFP	AFPD; FETA; HPAFP	OMIM:104150; HGNC:HGNC:317; Ensembl:ENSG00000081051	4	4q13.3	alpha fetoprotein	protein-coding	T10828	Clinical Trial target
HBTAR000111	9606	175	AGA	AGU; ASRG; GA	OMIM:613228; HGNC:HGNC:318; Ensembl:ENSG00000038002	4	4q34.3	aspartylglucosaminidase	protein-coding	NA	/
HBTAR000112	9606	176	ACAN	AGC1; AGCAN; CSPG1; CSPGCP; MSK16; SEDK; SSOAOD	OMIM:155760; HGNC:HGNC:319; Ensembl:ENSG00000157766	15	15q26.1	aggrecan	protein-coding	NA	/
HBTAR000113	9606	177	AGER	RAGE; SCARJ1	OMIM:600214; HGNC:HGNC:320; Ensembl:ENSG00000204305	6	6p21.32	advanced glycosylation end-product specific receptor	protein-coding	T07400	Clinical Trial target
HBTAR000114	9606	178	AGL	GDE	OMIM:610860; HGNC:HGNC:321; Ensembl:ENSG00000162688	1	1p21.2	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	protein-coding	NA	/
HBTAR000115	9606	181	AGRP	AGRT; ART; ASIP2	OMIM:602311; HGNC:HGNC:330; Ensembl:ENSG00000159723	16	16q22.1	agouti related neuropeptide	protein-coding	T52937	Clinical Trial target
HBTAR000116	9606	182	JAG1	AGS; AGS1; AHD; AWS; CD339; DCHE; HJ1; JAGL1	OMIM:601920; HGNC:HGNC:6188; Ensembl:ENSG00000101384	20	20p12.2	jagged canonical Notch ligand 1	protein-coding	NA	/
HBTAR000117	9606	183	AGT	ANHU; SERPINA8; hFLT1	OMIM:106150; HGNC:HGNC:333; Ensembl:ENSG00000135744	1	1q42.2	angiotensinogen	protein-coding	T64485	Research target
HBTAR000118	9606	185	AGTR1	AG2S; AGTR1B; AT1; AT1AR; AT1B; AT1BR; AT1R; AT2R1; HAT1R	OMIM:106165; HGNC:HGNC:336; Ensembl:ENSG00000144891	3	3q24	angiotensin II receptor type 1	protein-coding	T74456	Successful target
HBTAR000119	9606	186	AGTR2	AT2; ATGR2; MRX88	OMIM:300034; HGNC:HGNC:338; Ensembl:ENSG00000180772	X	Xq23	angiotensin II receptor type 2	protein-coding	T09909	Successful target
HBTAR000120	9606	187	APLNR	AGTRL1; APJ; APJR; HG11	OMIM:600052; HGNC:HGNC:339; Ensembl:ENSG00000134817	11	11q12.1	apelin receptor	protein-coding	T65783	Clinical Trial target
HBTAR000121	9606	189	AGXT	AGT; AGT1; AGXT1; PH1; SPAT; SPT; TLH6	OMIM:604285; HGNC:HGNC:341; Ensembl:ENSG00000172482	2	2q37.3	alanine--glyoxylate and serine--pyruvate aminotransferase	protein-coding	T06365	Research target
HBTAR000122	9606	190	NR0B1	AHC; AHCH; AHX; DAX-1; DAX1; DSS; GTD; HHG; NROB1; SRXY2	OMIM:300473; HGNC:HGNC:7960; Ensembl:ENSG00000169297	X	Xp21.2	nuclear receptor subfamily 0 group B member 1	protein-coding	T23191	Research target
HBTAR000123	9606	191	AHCY	SAHH; adoHcyase	OMIM:180960; HGNC:HGNC:343; Ensembl:ENSG00000101444	20	20q11.22	adenosylhomocysteinase	protein-coding	T68698	Research target
HBTAR000124	9606	196	AHR	RP85; bHLHe76	OMIM:600253; HGNC:HGNC:348; Ensembl:ENSG00000106546	7	7p21.1	aryl hydrocarbon receptor	protein-coding	T23666	Successful target
HBTAR000125	9606	197	AHSG	A2HS; AHS; APMR1; FETUA; HSGA	OMIM:138680; HGNC:HGNC:349; Ensembl:ENSG00000145192	3	3q27.3	alpha 2-HS glycoprotein	protein-coding	T97036	Clinical Trial target
HBTAR000126	9606	199	AIF1	AIF-1; IBA1; IRT-1; IRT1	OMIM:601833; HGNC:HGNC:352; Ensembl:ENSG00000204472	6	6p21.33	allograft inflammatory factor 1	protein-coding	T30777	Research target
HBTAR000127	9606	203	AK1	HTL-S-58j	OMIM:103000; HGNC:HGNC:361; Ensembl:ENSG00000106992	9	9q34.11	adenylate kinase 1	protein-coding	NA	/
