Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","54","GC02M214725","157.667373657227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","56","GC12M132740","144.64323425293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","58","GC10P098516","144.60041809082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","56","GC07M005973","141.920013427734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","60","GC12M025583","139.907012939453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","62","GC07P055019","139.024154663086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","59","GC03P179148","137.602508544922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","62","GC17P039687","136.356781005859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","52","GC01M045329","135.540130615234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","58","GC09M021967","125.01163482666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","60","GC03P041194","121.21565246582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","60","GC18P051028","118.937881469727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","37","GC11M108308","116.887725830078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","57","GC19P001177","113.76439666748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"CTNNA1","Catenin Alpha 1","Protein Coding","P35221","53","GC05P138616","110.002792358398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1"
"LOC126862571","BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335","Functional Element","","4","GC17P080721","107.368850708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862571"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","61","GC07P116672","107.08056640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"RAD50","RAD50 Double Strand Break Repair Protein","Protein Coding","Q92878","56","GC05P132556","105.269416809082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50"
"AXIN2","Axin 2","Protein Coding","Q9Y2T1","55","GC17M065528","104.480422973633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","61","GC07M140751","103.944152832031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","53","GC19P083707","103.260131835938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"NBN","Nibrin","Protein Coding","O60934","55","GC08M089933","103.005554199219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"RAD51D","RAD51 Paralog D","Protein Coding","O75771","47","GC17M035092","102.191436767578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D"
"NF1","Neurofibromin 1","Protein Coding","P21359","54","GC17P031094","101.000885009766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","62","GC10M121478","100.136856079102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","30","GC11M001995","98.9206085205078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","55","GC13P048303","97.5481567382813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","60","GC14M104769","96.9153213500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"RAD51C","RAD51 Paralog C","Protein Coding","O43502","50","GC17P058692","93.5903015136719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","61","GC10P043402","90.870002746582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","59","GC11M007933","90.184928894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"MSH3","MutS Homolog 3","Protein Coding","P20585","50","GC05P080654","89.5438461303711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","57","GC02M029190","89.3712310791016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"MIR21","MicroRNA 21","RNA Gene","","26","GC17P078777","88.2761459350586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MEG3","Maternally Expressed 3","RNA Gene","","31","GC14P112719","86.5438766479492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"RAD51L3-RFFL","RAD51L3-RFFL Readthrough","RNA Gene","","12","GC17M035009","86.0055923461914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51L3-RFFL"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","58","GC19P011131","85.8909530639648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"PVT1","Pvt1 Oncogene","RNA Gene","","29","GC08P127908","85.7523880004883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","60","GC04P054657","85.4855422973633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","57","GC16P045943","84.2785491943359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","58","GC05M001253","82.7075881958008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"PTCH1","Patched 1","Protein Coding","Q13635","58","GC09M095442","81.8926086425781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","55","GC14M095086","81.5010986328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"MLH3","MutL Homolog 3","Protein Coding","Q9UHC1","47","GC14M075013","80.9126358032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH3"
"GAS5","Growth Arrest Specific 5","RNA Gene","","26","GC01M173947","80.4786071777344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","P36894","58","GC10P098402","80.4188079833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","27","GC12M053962","80.0486297607422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"BLM","BLM RecQ Like Helicase","Protein Coding","P54132","56","GC15P090717","79.9395141601563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM"
"CCAT1","Colon Cancer Associated Transcript 1","RNA Gene","","17","GC08M127207","79.6510620117188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","26","GC19P015828","78.5637512207031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","27","GC11P072906","77.8052825927734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","57","GC01M114704","76.3700714111328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"XIST","X Inactive Specific Transcript","RNA Gene","","26","GC0XM073820","76.0779266357422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"MRE11","MRE11 Homolog, Double Strand Break Repair Nuclease","Protein Coding","P49959","54","GC11M109894","75.9156036376953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","59","GC08P127735","73.778076171875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"MIR34A","MicroRNA 34a","RNA Gene","","25","GC01M010148","73.4880752563477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","O14521","52","GC11P112156","73.1946563720703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","56","GC12P028528","72.9375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"MIR145","MicroRNA 145","RNA Gene","","26","GC05P149430","72.3779754638672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","55","GC02P047345","72.2040252685547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"FBXW7","F-Box And WD Repeat Domain Containing 7","Protein Coding","Q969H0","52","GC04M152321","72.0845642089844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW7"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","61","GC12P058086","71.8432922363281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"MIR221","MicroRNA 221","RNA Gene","","23","GC0XM045746","71.8306503295898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","61","GC12M058711","71.8279190063477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","29","GC10P118046","71.4152984619141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"MIR143","MicroRNA 143","RNA Gene","","26","GC05P149417","70.5660247802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"BAP1","BRCA1 Associated Protein 1","Protein Coding","Q92560","54","GC03M052401","70.4757308959961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"PCAT1","Prostate Cancer Associated Transcript 1","RNA Gene","","20","GC08P126553","70.3720092773438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT1"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","62","GC01M011106","70.0970153808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","","16","GC08P127400","69.432487487793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"CCND1","Cyclin D1","Protein Coding","P24385","60","GC11P069641","69.361083984375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"FANCC","FA Complementation Group C","Protein Coding","Q00597","55","GC09M095099","68.728401184082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC"
"LOC126806658","BRD4-Independent Group 4 Enhancer GRCh37_chr3:41265899-41267098","Functional Element","","4","GC03P041224","68.5025939941406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806658"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","61","GC06P151656","68.4392929077148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","60","GC04P054229","67.8656463623047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"MIR141","MicroRNA 141","RNA Gene","","24","GC12P028325","67.7699737548828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"MIR222","MicroRNA 222","RNA Gene","","23","GC0XM045747","67.6167984008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"MIR20A","MicroRNA 20a","RNA Gene","","22","GC13P091621","67.478271484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","54","GC09M132891","67.4723587036133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","28","GC11P072900","67.2125396728516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","59","GC03P030623","67.0452194213867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","26","GC09P021994","66.9774551391602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","54","GC02M112829","66.9414215087891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"RHOA","Ras Homolog Family Member A","Protein Coding","P61586","57","GC03M049359","66.4973449707031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","24","GC06P008453","66.2341384887695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"FLCN","Folliculin","Protein Coding","Q8NFG4","49","GC17M017212","66.193733215332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","19","GC18M057054","66.0607299804688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","55","GC01M018664","65.7769393920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"FH","Fumarate Hydratase","Protein Coding","P07954","53","GC01M241499","65.5541687011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"MIR214","MicroRNA 214","RNA Gene","","25","GC01M172234","65.4371643066406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"MIR200C","MicroRNA 200c","RNA Gene","","25","GC12P028324","65.0266876220703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C"
"MIR223","MicroRNA 223","RNA Gene","","24","GC0XP066018","64.6278991699219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"AR","Androgen Receptor","Protein Coding","P10275","58","GC0XP067544","64.6021728515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","","25","GC07P027198","64.4610595703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP"
"MIR27A","MicroRNA 27a","RNA Gene","","25","GC19M015530","64.3149948120117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"MIR125A","MicroRNA 125a","RNA Gene","","24","GC19P083773","63.983268737793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"TUG1","Taurine Up-Regulated 1","Protein Coding","A0A6I8PU40","26","GC22P030969","63.8421401977539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"ZFAS1","ZNFX1 Antisense RNA 1","RNA Gene","","23","GC20P049276","63.6583137512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAS1"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","62","GC04P001900","62.6677703857422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","Q8IYG6","42","GC11P002827","62.181453704834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"BCAR4","Breast Cancer Anti-Estrogen Resistance 4","RNA Gene","","20","GC16M013167","61.9097557067871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAR4"
"MIR106A","MicroRNA 106a","RNA Gene","","21","GC0XM134379","61.3821716308594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A"
"MIR203A","MicroRNA 203a","RNA Gene","","24","GC14P112094","61.0003242492676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"KCNQ1OT1","KCNQ1 Opposite Strand/Antisense Transcript 1","RNA Gene","","30","GC11M008063","60.694652557373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1OT1"
"HOXB13","Homeobox B13","Protein Coding","Q92826","49","GC17M061278","60.3997421264648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13"
"MIR17","MicroRNA 17","RNA Gene","","22","GC13P091350","60.1686744689941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"MIR106B","MicroRNA 106b","RNA Gene","","24","GC07M103958","60.1035690307617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"DANCR","Differentiation Antagonizing Non-Protein Coding RNA","RNA Gene","P0C864","26","GC04P052712","60.0481910705566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DANCR"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","P10914","53","GC05M132440","60.0088272094727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1"
"GHET1","Gastric Carcinoma Proliferation Enhancing Transcript 1","RNA Gene","","16","GC07P152246","59.8402404785156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHET1"
"GACAT2","Gastric Cancer Associated Transcript 2","RNA Gene","","19","GC18M008695","59.2432022094727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GACAT2"
"SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","","17","GC05M142318","59.1387557983398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","60","GC22M021759","58.9956130981445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","61","GC17M042313","58.9423599243164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CASP8","Caspase 8","Protein Coding","Q14790","59","GC02P201233","58.554859161377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"CYTOR","Cytoskeleton Regulator RNA","RNA Gene","","25","GC02P088529","57.8656692504883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYTOR"
"SNHG16","Small Nucleolar RNA Host Gene 16","RNA Gene","","22","GC17P076544","57.8404998779297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG16"
"EP300","E1A Binding Protein P300","Protein Coding","Q09472","60","GC22P052546","57.6892242431641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"KIF1B","Kinesin Family Member 1B","Protein Coding","O60333","50","GC01P010210","57.628345489502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF1B"
"MIR126","MicroRNA 126","RNA Gene","","25","GC09P136670","57.5176277160645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","61","GC15P066386","57.4841613769531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"HOXA11-AS","HOXA11 Antisense RNA","RNA Gene","","24","GC07P027184","57.2269248962402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA11-AS"
"NTHL1","Nth Like DNA Glycosylase 1","Protein Coding","P78549","50","GC16M010451","57.1763229370117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTHL1"
"MUC6","Mucin 6, Oligomeric Mucus/Gel-Forming","Protein Coding","Q6W4X9","46","GC11M001012","56.9371719360352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC6"
"MEN1","Menin 1","Protein Coding","O00255","51","GC11M064803","56.7131500244141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"MIR30A","MicroRNA 30a","RNA Gene","","22","GC06M071403","56.4203338623047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"MIR93","MicroRNA 93","RNA Gene","","24","GC07M103953","55.8134307861328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"MIR191","MicroRNA 191","RNA Gene","","24","GC03M052400","55.7925453186035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"MIR25","MicroRNA 25","RNA Gene","","22","GC07M100093","55.5335540771484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"BANCR","BRAF-Activated Non-Protein Coding RNA","RNA Gene","","17","GC09M069296","55.4245758056641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR"
"MUC2","Mucin 2, Oligomeric Mucus/Gel-Forming","Protein Coding","Q02817","44","GC11P001074","55.2792015075684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC2"
"MIR205","MicroRNA 205","RNA Gene","","22","GC01P209432","55.1153793334961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"MIR31","MicroRNA 31","RNA Gene","","22","GC09M021951","55.1027717590332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31"
"SNHG1","Small Nucleolar RNA Host Gene 1","RNA Gene","","23","GC11M109107","54.7599601745605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG1"
"MIR146A","MicroRNA 146a","RNA Gene","","25","GC05P160485","54.6332893371582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","56","GC06P043770","54.6103630065918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"KLF6","KLF Transcription Factor 6","Protein Coding","Q99612","50","GC10M003779","54.5041999816895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF6"
"GACAT3","Gastric Cancer Associated Transcript 3","RNA Gene","","18","GC02P016015","54.4865798950195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GACAT3"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","57","GC20P058839","54.1636428833008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"MIR34C","MicroRNA 34c","RNA Gene","","24","GC11P112126","54.1311225891113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","62","GC08M038400","53.9604949951172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","P18510","57","GC02P125995","53.9457397460938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"MIR155","MicroRNA 155","RNA Gene","","24","GC21P025573","53.7433471679688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","Q06124","61","GC12P112418","53.7185935974121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"MIR451A","MicroRNA 451a","RNA Gene","","20","GC17M028861","53.3397064208984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"MIR150","MicroRNA 150","RNA Gene","","24","GC19M049500","53.2653884887695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"CASC9","Cancer Susceptibility 9","RNA Gene","","18","GC08M075132","53.2178916931152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC9"
"MIAT","Myocardial Infarction Associated Transcript","RNA Gene","","27","GC22P026646","53.1925201416016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIAT"
"MIR122","MicroRNA 122","RNA Gene","","24","GC18P058451","53.1807250976563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"LZTR1","Leucine Zipper Like Post Translational Regulator 1","Protein Coding","Q8N653","50","GC22P051848","53.0790863037109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTR1"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","57","GC19P048954","52.8834838867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","55","GC05P000220","52.865909576416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","60","GC12P068808","52.6414947509766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
