Chinese name	Latin name	Latin name.link	Category Chinese name	Category Latin name
半夏 (Banxia)	Arum Ternatum Thunb.	https://tcmsp-e.com/tcmspsearch.php?qr=Arum%20Ternatum%20Thunb.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
半枝莲 (Banzhilian)	Scutellariae Barbatae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Scutellariae%20Barbatae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
薄荷 (Bohe)	Menthae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Menthae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛凉解表药	Pungent Cool Diaphoretics
北豆根 (Beidougen)	Menispermi Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Menispermi%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
北刘寄奴 (Beiliujinu)	Siphonostegiae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Siphonostegiae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
北沙参 (Beishashen)	Glehniae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Glehniae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
北五味子 (Beiwuweizi)	Schisandrae Chinensis Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Schisandrae%20Chinensis%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收涩药	Astringent Medicinal
荜茇 (Biba)	Piperis Longi Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Piperis%20Longi%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
荜澄茄 (Bichengqie)	Litseae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Litseae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
蓖麻子 (Bimazie)	Ricini Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Ricini%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
萹蓄 (Bianxu)	Polygoni Avicularis Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Polygoni%20Avicularis%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
扁豆花 (Biandouhua)	Dolichos Lablab L	https://tcmsp-e.com/tcmspsearch.php?qr=Dolichos%20Lablab%20L&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化湿药	Dampness Removing Drugs
槟榔 (Binglang)	Arecae Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Arecae%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	驱虫药	Antiparasitic Drugs
冰片 (Bingpian)	Borneolum Syntheticum	https://tcmsp-e.com/tcmspsearch.php?qr=Borneolum%20Syntheticum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	开窍药	Resuscitative Stimulant; Resuscitative Medicinal
布渣叶 (Buzhaye)	Microctis Folium	https://tcmsp-e.com/tcmspsearch.php?qr=Microctis%20Folium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
蚕沙 (Cansha)	Bombyx Mori L.	https://tcmsp-e.com/tcmspsearch.php?qr=Bombyx%20Mori%20L.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
苍耳子 (Cangerzi)	Xanthii Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Xanthii%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
苍术 (Cangzhu)	Atractylodes Lancea (Thunb.)Dc.	https://tcmsp-e.com/tcmspsearch.php?qr=Atractylodes%20Lancea%20(Thunb.)Dc.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化湿药	Dampness Removing Drugs
草苁蓉 (Caocongrong)	Boschniakia Rossica Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Boschniakia%20Rossica%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
草果 (Caoguo)	Amomum Tsao-Ko Crevostet	https://tcmsp-e.com/tcmspsearch.php?qr=Amomum%20Tsao-Ko%20Crevostet&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化湿药	Dampness Removing Drugs
草乌 (Caowu)	Aconitum Kusnezoffii Reichb	https://tcmsp-e.com/tcmspsearch.php?qr=Aconitum%20Kusnezoffii%20Reichb&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
草乌叶 (Caowuye)	Radix Aconiti Kusnezoffii	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Aconiti%20Kusnezoffii&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
侧柏叶 (Cebaiye)	Platycladi Cacumen	https://tcmsp-e.com/tcmspsearch.php?qr=Platycladi%20Cacumen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
柴胡 (Chaihu)	Radix Bupleuri	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Bupleuri&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛凉解表药	Pungent Cool Diaphoretics
蝉蜕 (Chantui)	Cicadae Periostracum	https://tcmsp-e.com/tcmspsearch.php?qr=Cicadae%20Periostracum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛凉解表药	Pungent Cool Diaphoretics
常山 (Changshan)	Dichroae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Dichroae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	涌吐药	Emetic Medicinal
车前草 (Cheqiancao)	Plantaginis Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Plantaginis%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
车前子 (Cheqianzi)	Plantaginis Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Plantaginis%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
沉香 (Chenxiang)	Linderae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Linderae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
陈皮 (Chenpi)	Citrus Reticulata	https://tcmsp-e.com/tcmspsearch.php?qr=Citrus%20Reticulata&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
赤芍 (Chishao)	Radix Paeoniae Rubra	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Paeoniae%20Rubra&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热凉血药	Heat Clearing Blood Cooling Drugs
赤小豆 (Chixiaodou)	Phaseoli Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Phaseoli%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
茺蔚子 (Chongweizi)	Leonuri Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Leonuri%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
臭梧桐 (Chouwutong)	Clerodendrum Trichotomum Thunb	https://tcmsp-e.com/tcmspsearch.php?qr=Clerodendrum%20Trichotomum%20Thunb&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
楮实子 (Chushiziu)	Broussonetiae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Broussonetiae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
川贝母 (Chuanbeimu)	Fritiliariae Irrhosae Bulbus	https://tcmsp-e.com/tcmspsearch.php?qr=Fritiliariae%20Irrhosae%20Bulbus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
川槿皮 (Chuanjinpi)	Cortex Hibisci	https://tcmsp-e.com/tcmspsearch.php?qr=Cortex%20Hibisci&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
川楝子 (Chuanlianzi)	Toosendan Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Toosendan%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
川木通 (Chuanmutong)	Clematidis Armandii Caulis	https://tcmsp-e.com/tcmspsearch.php?qr=Clematidis%20Armandii%20Caulis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
川牛膝 (Chuanniuxi)	Cyathulae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Cyathulae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
川射干 (Chuanshegan)	Iridis Tectori Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Iridis%20Tectori%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
川乌 (Chuanwu)	Aconiti Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Aconiti%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
川芎 (Chuanxiong)	Chuanxiong Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Chuanxiong%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
穿山龙 (Chuanshanlong)	Rhizoma Dioscoreae Nipponicae	https://tcmsp-e.com/tcmspsearch.php?qr=Rhizoma%20Dioscoreae%20Nipponicae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
穿心莲 (Chuanxinlian)	Andrographis Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Andrographis%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
垂盆草 (Chuipencao)	Sedi Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Sedi%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
椿皮 (Chunpi)	Ailanthi Cortex	https://tcmsp-e.com/tcmspsearch.php?qr=Ailanthi%20Cortex&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
葱白 (Congbai)	Allii Fistulost Bulbus	https://tcmsp-e.com/tcmspsearch.php?qr=Allii%20Fistulost%20Bulbus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
大风子 (Dafengzi)	Hydnocarpi Anthelminticae Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Hydnocarpi%20Anthelminticae%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	解毒杀虫燥湿止痒药	Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching
大腹皮 (Dafupi)	Areca Catechu L.	https://tcmsp-e.com/tcmspsearch.php?qr=Areca%20Catechu%20L.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
大黄 (Dahuang)	Radix Rhei Et Rhizome	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Rhei%20Et%20Rhizome&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	攻下药	Offensive Purgative Medicinal
大蓟 (Daji)	Radix Cirsii Japonici	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Cirsii%20Japonici&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
大青叶 (Daqingye)	Isatidis Folium	https://tcmsp-e.com/tcmspsearch.php?qr=Isatidis%20Folium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
大蒜 (Dasuan)	Allii Sativi Bulbus	https://tcmsp-e.com/tcmspsearch.php?qr=Allii%20Sativi%20Bulbus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	解毒杀虫燥湿止痒药	Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching
大血藤 (Daxueteng)	Sargentodoxae Caulis	https://tcmsp-e.com/tcmspsearch.php?qr=Sargentodoxae%20Caulis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
大枣 (Dazao)	Jujubae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Jujubae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
大皂荚 (Dazaojia)	Gleditsiae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Gleditsiae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
玳玳花 (Daidaihua)	Citrus Aurantium	https://tcmsp-e.com/tcmspsearch.php?qr=Citrus%20Aurantium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
丹参 (Danshen)	Radix Salviae	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Salviae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
淡豆豉 (Dandouchi)	Sojae Semen Praeparatum	https://tcmsp-e.com/tcmspsearch.php?qr=Sojae%20Semen%20Praeparatum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛凉解表药	Pungent Cool Diaphoretics
当归 (Danggui)	Angelicae Sinensis Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Angelicae%20Sinensis%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补血药	Blood-Tonifying Medicinal
党参 (Dangshen)	Codonopsis Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Codonopsis%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
刀豆 (Daodou)	Canavaliae Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Canavaliae%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
倒扣草 (Daokoucao)	Achyranthis Asperae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Achyranthis%20Asperae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
灯心草 (Dengxincao)	Junci Medulla	https://tcmsp-e.com/tcmspsearch.php?qr=Junci%20Medulla&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
地耳草 (Diercao)	Hyperici Japonici Herber	https://tcmsp-e.com/tcmspsearch.php?qr=Hyperici%20Japonici%20Herber&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
地枫皮 (Difengpi)	Illicium Difengpi K. L. B. Et K. I. M.	https://tcmsp-e.com/tcmspsearch.php?qr=Illicium%20Difengpi%20K.%20L.%20B.%20Et%20K.%20I.%20M.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
地肤子 (Difuzi)	Kochiae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Kochiae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
地骨皮 (Digupi)	Lycii Cortex	https://tcmsp-e.com/tcmspsearch.php?qr=Lycii%20Cortex&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清虚热药	Asthenic Heat Dispelling Drugs
地锦草 (Dijincao)	Euphorbiae Humifusae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Euphorbiae%20Humifusae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
地榆 (Diyu)	Radix Sanguisorbae	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Sanguisorbae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
丁公藤 (Dinggongteng)	Erycibe Obtusifolia Benth	https://tcmsp-e.com/tcmspsearch.php?qr=Erycibe%20Obtusifolia%20Benth&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
